dataset,tracker,resolution,conf,model,HOTA,AssA,AssRe,AssPr,LocA,DetA,Dets,GT_IDs,IDs
MOT20,SORT,1280,0.15,yolov8n,21.961,14.117,14.652,77.676,75.703,35.569,663299,2215,36885
MOT20,LITEDeepSORT,1280,0.15,yolov8x,24.899,24.929,29.691,50.652,78.116,25.116,424658,2215,2236
MOT20,StrongSORT,1280,0.05,yolov8l,32.322,27.109,31.293,54.099,76.132,39.365,825468,2215,6125
MOT20,SORT,1280,0.05,yolov8x,25.919,19.189,20.039,78.966,76.686,36.003,676508,2215,33962
MOT20,SORT,1280,0.01,yolov8n,18.655,11.722,12.205,70.9,73.37,31.967,1608080,2215,164552
MOT20,DeepSORT,1280,0.05,yolov8l,30.029,23.498,28.199,47.464,75.953,39.165,821190,2215,5622
MOT20,DeepSORT,1280,0.05,yolov8n,21.454,14.411,17.946,35.624,73.196,33.456,1478642,2215,13637
MOT20,Bytetrack,1280,0.05,yolov8m,26.241,30.062,31.519,78.82,78.539,23.085,370990,2215,4875
MOT20,SORT,1280,0.15,yolov8l,23.023,19.696,20.489,81.147,78.294,27.402,447538,2215,17819
MOT20,LITEDeepSORT,1280,0.05,yolov8s,24.435,16.045,20.809,34.471,74.336,38.561,1251793,2215,8038
MOT20,LITEDeepSORT,1280,0.01,yolov8n,15.608,10.593,14.505,25.171,72.688,24.084,2371018,2215,14831
MOT20,SORT,1280,0.01,yolov8l,25.745,17.534,18.369,74.565,74.759,39.755,1218631,2215,93034
MOT20,StrongSORT,1280,0.05,yolov8s,28.78,21.813,26.076,46.083,74.578,39.282,1235206,2215,11118
MOT20,OCSORT,1280,0.25,yolov8m,25.602,32.022,34.076,76.617,78.829,20.645,327586,2215,3254
MOT20,OCSORT,1280,0.05,yolov8n,26.388,19.293,20.876,60.189,74.197,37.667,931024,2215,18579
MOT20,SORT,1280,0.05,yolov8n,20.763,12.441,12.961,72.756,73.799,37.098,1221696,2215,120657
MOT20,SORT,1280,0.01,yolov8s,22.103,14.26,14.888,72.348,74.116,36.483,1477640,2215,132374
MOT20,LITEDeepSORT,1280,0.5,yolov8x,13.18,22.007,25.672,57.114,80.778,7.9759,120080,2215,984
MOT20,SORT,1280,0.15,yolov8m,23.99,20.098,20.905,80.52,77.696,29.177,488686,2215,19117
MOT20,OCSORT,1280,0.05,yolov8m,33.776,30.181,32.56,69.644,76.115,38.479,719689,2215,8193
MOT20,LITEDeepSORT,1280,0.5,yolov8n,21.171,19.993,24.305,44.439,77.794,22.687,367831,2215,1871
MOT20,DeepSORT,1280,0.5,yolov8n,21.055,19.955,23.811,46.625,77.799,22.515,365006,2215,2118
MOT20,StrongSORT,1280,0.25,yolov8n,27.715,22.661,26.252,51.026,76.031,34.609,645893,2215,4723
MOT20,OCSORT,1280,0.05,yolov8l,33.282,30.679,32.978,71.166,76.73,36.715,662360,2215,7045
