model,layer,auc_score,model,layer_name,shape
yolo11m,layer0,0.719071083189792,yolo11m,Conv 0,"(1, 3, 736, 1280)"
yolo11m,layer1,0.7168413756501035,yolo11m,Conv 1,"(1, 64, 368, 640)"
yolo11m,layer2,0.73790879905126,yolo11m,C3k2 2,"(1, 128, 184, 320)"
yolo11m,layer3,0.7186214004670405,yolo11m,Conv 3,"(1, 256, 184, 320)"
yolo11m,layer4,0.7235685687057474,yolo11m,C3k2 4,"(1, 256, 92, 160)"
yolo11m,layer5,0.7256557870719431,yolo11m,Conv 5,"(1, 512, 92, 160)"
yolo11m,layer6,0.739919965739372,yolo11m,C3k2 6,"(1, 512, 46, 80)"
yolo11m,layer7,0.7049906459286407,yolo11m,Conv 7,"(1, 512, 46, 80)"
yolo11m,layer8,0.722660986696932,yolo11m,C3k2 8,"(1, 512, 23, 40)"
yolo11m,layer9,0.7419172056592653,yolo11m,SPPF 9,"(1, 512, 23, 40)"
yolo11m,layer10,0.7113092173675155,yolo11m,C2PSA 10,"(1, 512, 23, 40)"
yolo11m,layer11,0.7253609191604242,yolo11m,Upsample 11,"(1, 512, 23, 40)"
yolo11m,layer12,0.7421958671239282,yolo11m,Concat 12,"(1, 512, 46, 80)"
yolo11m,layer13,0.7765052053662689,yolo11m,C3k2 13,"(1, 1024, 46, 80)"
yolo11m,layer14,0.7798087325823763,yolo11m,Upsample 14,"(1, 512, 46, 80)"
yolo11m,layer15,0.7805107825937574,yolo11m,Concat 15,"(1, 512, 92, 160)"
yolo11m,layer16,0.7821276848358487,yolo11m,C3k2 16,"(1, 1024, 92, 160)"
yolo11m,layer17,0.7479298473897645,yolo11m,Conv 17,"(1, 256, 92, 160)"
yolo11m,layer18,0.7682712724739144,yolo11m,Concat 18,"(1, 256, 46, 80)"
yolo11m,layer19,0.7514298060470425,yolo11m,C3k2 19,"(1, 768, 46, 80)"
yolo11m,layer20,0.7032049892417708,yolo11m,Conv 20,"(1, 512, 46, 80)"
yolo11m,layer21,0.7062285347660383,yolo11m,Concat 21,"(1, 512, 23, 40)"
yolo11x,layer0,0.7134005619532912,yolo11x,Conv 0,"(1, 3, 736, 1280)"
yolo11x,layer1,0.7194894916192367,yolo11x,Conv 1,"(1, 96, 368, 640)"
yolo11x,layer2,0.7353832540009949,yolo11x,C3k2 2,"(1, 192, 184, 320)"
yolo11x,layer3,0.727509035072716,yolo11x,Conv 3,"(1, 384, 184, 320)"
yolo11x,layer4,0.7264798712432046,yolo11x,C3k2 4,"(1, 384, 92, 160)"
yolo11x,layer5,0.7267242045002009,yolo11x,Conv 5,"(1, 768, 92, 160)"
yolo11x,layer6,0.7473623840788419,yolo11x,C3k2 6,"(1, 768, 46, 80)"
yolo11x,layer7,0.7046646215572736,yolo11x,Conv 7,"(1, 768, 46, 80)"
yolo11x,layer8,0.7191530955844009,yolo11x,C3k2 8,"(1, 768, 23, 40)"
yolo11x,layer9,0.7398399248135219,yolo11x,SPPF 9,"(1, 768, 23, 40)"
yolo11x,layer10,0.6969162819494241,yolo11x,C2PSA 10,"(1, 768, 23, 40)"
yolo11x,layer11,0.7076109738039262,yolo11x,Upsample 11,"(1, 768, 23, 40)"
