tracker_name,sequence_name,FPS,conf
SORT,MOT17-02-FRCNN,11.8,0.05
LITEDeepSORT,MOT17-02-FRCNN,9.1,0.05
OCSORT,MOT17-02-FRCNN,10.5,0.05
Bytetrack,MOT17-02-FRCNN,13.3,0.05
DeepOCSORT,MOT17-02-FRCNN,4.2,0.05
LITEDeepOCSORT,MOT17-02-FRCNN,9.1,0.05
BoTSORT,MOT17-02-FRCNN,8.4,0.05
LITEBoTSORT,MOT17-02-FRCNN,13.7,0.05
SORT,MOT17-02-FRCNN,14.5,0.1
LITEDeepSORT,MOT17-02-FRCNN,11.2,0.1
OCSORT,MOT17-02-FRCNN,12.5,0.1
Bytetrack,MOT17-02-FRCNN,14.4,0.1
DeepOCSORT,MOT17-02-FRCNN,5.8,0.1
LITEDeepOCSORT,MOT17-02-FRCNN,11.3,0.1
BoTSORT,MOT17-02-FRCNN,8.5,0.1
LITEBoTSORT,MOT17-02-FRCNN,14.0,0.1
SORT,MOT17-02-FRCNN,15.2,0.15
LITEDeepSORT,MOT17-02-FRCNN,12.1,0.15
OCSORT,MOT17-02-FRCNN,13.5,0.15
Bytetrack,MOT17-02-FRCNN,14.5,0.15
DeepOCSORT,MOT17-02-FRCNN,6.5,0.15
LITEDeepOCSORT,MOT17-02-FRCNN,12.2,0.15
BoTSORT,MOT17-02-FRCNN,8.4,0.15
LITEBoTSORT,MOT17-02-FRCNN,14.3,0.15
SORT,MOT17-02-FRCNN,15.5,0.2
LITEDeepSORT,MOT17-02-FRCNN,12.7,0.2
OCSORT,MOT17-02-FRCNN,14.2,0.2
Bytetrack,MOT17-02-FRCNN,15.0,0.2
DeepOCSORT,MOT17-02-FRCNN,6.9,0.2
LITEDeepOCSORT,MOT17-02-FRCNN,12.9,0.2
BoTSORT,MOT17-02-FRCNN,8.5,0.2
LITEBoTSORT,MOT17-02-FRCNN,14.5,0.2
SORT,MOT17-02-FRCNN,15.8,0.25
LITEDeepSORT,MOT17-02-FRCNN,13.2,0.25
OCSORT,MOT17-02-FRCNN,14.6,0.25
Bytetrack,MOT17-02-FRCNN,15.1,0.25
DeepOCSORT,MOT17-02-FRCNN,7.2,0.25
LITEDeepOCSORT,MOT17-02-FRCNN,13.4,0.25
BoTSORT,MOT17-02-FRCNN,8.5,0.25
LITEBoTSORT,MOT17-02-FRCNN,14.6,0.25
SORT,MOT17-02-FRCNN,15.9,0.3
LITEDeepSORT,MOT17-02-FRCNN,13.5,0.3
OCSORT,MOT17-02-FRCNN,14.8,0.3
Bytetrack,MOT17-02-FRCNN,15.2,0.3
DeepOCSORT,MOT17-02-FRCNN,7.4,0.3
LITEDeepOCSORT,MOT17-02-FRCNN,13.8,0.3
BoTSORT,MOT17-02-FRCNN,8.5,0.3
LITEBoTSORT,MOT17-02-FRCNN,14.7,0.3
SORT,MOT17-02-FRCNN,16.1,0.35
LITEDeepSORT,MOT17-02-FRCNN,13.8,0.35
OCSORT,MOT17-02-FRCNN,15.1,0.35
Bytetrack,MOT17-02-FRCNN,15.5,0.35
DeepOCSORT,MOT17-02-FRCNN,7.7,0.35
LITEDeepOCSORT,MOT17-02-FRCNN,14.1,0.35
BoTSORT,MOT17-02-FRCNN,8.5,0.35
LITEBoTSORT,MOT17-02-FRCNN,14.8,0.35
SORT,MOT17-02-FRCNN,16.4,0.4
LITEDeepSORT,MOT17-02-FRCNN,14.1,0.4
OCSORT,MOT17-02-FRCNN,15.3,0.4
Bytetrack,MOT17-02-FRCNN,15.7,0.4
DeepOCSORT,MOT17-02-FRCNN,7.8,0.4
LITEDeepOCSORT,MOT17-02-FRCNN,14.3,0.4
BoTSORT,MOT17-02-FRCNN,8.5,0.4
LITEBoTSORT,MOT17-02-FRCNN,14.8,0.4
SORT,MOT17-02-FRCNN,16.4,0.45
LITEDeepSORT,MOT17-02-FRCNN,14.3,0.45
OCSORT,MOT17-02-FRCNN,15.5,0.45
